Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index
2845,5860,27842,7406,32,1344,16684,5467,7,19,1,45,55,0,95.2
12886,61,25041,877,83,864,4,305,0,45,1,45,55,0,85.5
2820,16400,56300,144,257,1080,206,11,2190,1,1,39,52,11,85.3
1099,70,37520,545,184,1402,6,230,0,87,4.58,33,49,5,85.3
3210,3570,47900,160,360,2130,4,43,4,1,0.77,44,55,3,85.2
13500,343,36500,3150,113,984,5,1230,1,1,4.93,37,52,6,75.6
10200,11900,33700,573,87,611,0,162,0,1,3.53,45,55,5,75.6
3,15459,41347,5,68,902,12,2,13,5,0.58,41,71,6,73.2
16,2470,59600,8,520,2660,5,8,2,164,0.29,44,56,4,72.8
488,11861,48353,13,85,1957,29,23,0,164,0.27,37,72,10,68
4,26100,60600,1,206,1440,13,0,13,5,1.32,40,56,4,63.4
4,21800,46200,0,75,655,3,0,11,0,0.65,42,53,5,63.4
254,592,60300,14,376,2500,5,9,0,205,0.44,42,42,6,61.3
23349,2475,28011,5045,156,48,5588,3532,2951,0,1,52,70,2,60.5
9040,1870,47500,1790,183,2060,7820,638,1450,0,1,42,55,18,60.5
13200,1120,32800,2650,156,2240,16400,1610,1510,0,1,45,58,22,60.5
6620,5250,51900,2240,190,1870,13100,1400,1660,0,1,42,54,21,60.5
8710,4530,42800,658,437,1780,1260,97,9740,1,1,45,55,1,60.5
5810,11900,51400,471,354,1470,798,44,3990,1,1,44,50,16,60.5
757,289,57400,1700,1730,24900,2280,755,12,0,42.1,24,51,77,60.5
590,23200,63900,949,209,51,828,168,582,0,1,45,55,4,60.5
1310,2690,51900,1010,119,2220,2520,376,17,0,0.25,45,29,34,60.5
122,294,73100,50,372,2180,69,31,0,168,1.27,42,35,19,59.3
106,581,75200,47,760,4070,11,30,0,183,0.16,43,29,5,58.3
95,1760,80800,72,488,3050,10,36,0,176,0.29,44,55,12,58
87,362,76100,47,560,3920,5,31,0,184,0.23,43,52,4,57.4
79,699,75700,72,508,3810,83,42,0,136,1.24,34,48,5,56
2183,192,43380,1061,183,5730,1308,646,2,0,1,42,28,31,55.8
76,324,71700,45,904,5220,10,27,0,227,0.45,45,45,8,55.1
